NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CD9	1	928	
CDA	1	978	
VPS29	1	51699	
FRMPD3	1	84443	
FRMPD4	1	9758	
CLEC10A	1	10462	
FRMPD1	1	22844	
RRP1	1	8568	
FRMPD2	1	143162	
GRPR	1	2925	
ELK1	1	2002	
RRP8	1	23378	
RRP9	1	9136	
ELK3	1	2004	
ELK4	1	2005	
ALCAM	1	214	
SCN11A	1	11280	
VPS35	1	55737	
VPS36	1	51028	
VPS39	1	23339	
VPS18	1	57617	
AL079338.1	1	613266	
CLEC11A	1	6320	
HUS1	1	3364	
CEL	1	1056	
NUP93	1	9688	
BCAN	1	63827	
SCN10A	1	6336	
BCAM	1	4059	
KRTAP4-12	1	83755	
HECW2	1	57520	
KRTAP4-11	1	653240	
HECW1	1	23072	
SRFBP1	1	153443	
TARS2	1	80222	
DLX6-AS1	1	285987	
TARS3	1	123283	
NUP98	1	4928	
VPS25	1	84313	
TARS1	1	6897	
CFB	1	629	
VPS28	1	51160	
RNF216P1	1	441191	
CFD	1	1675	
AL133464.1	1	284788	
PLEKHA8P1	1	51054	
CFH	1	3075	
CFI	1	3426	
CFP	1	5199	
RRP7A	1	27341	
NUP85	1	79902	
RRS1	1	23212	
VPS11	1	55823	
ST3GAL4	1	6484	
ST3GAL5	1	8869	
ST3GAL6	1	10402	
NUP88	1	4927	
HOXA11-AS	1	221883	
CGA	1	1081	
TRIM49D2	1	729384	
ST3GAL1	1	6482	
ST3GAL2	1	6483	
ST3GAL3	1	6487	
VPS16	1	64601	
PLK4	1	10733	
C3orf18	1	51161	
LRRC37A3	1	374819	
PLK3	1	1263	
LRRC37A2	1	474170	
NFE2	1	4778	
ARL14EP	1	120534	
NFE4	1	58160	
PLK5	1	126520	
APOOL	1	139322	
GTF2IRD2	1	84163	
PLK2	1	10769	
MCAM	1	4162	
PLK1	1	5347	
CGN	1	57530	
C3orf14	1	57415	
ELL2	1	22936	
MCAT	1	27349	
ELL3	1	80237	
DEFT1P	1	170949	
GTF2IRD1	1	9569	
BPIFC	1	254240	
RSPH10B	1	222967	
MOCS2	1	4338	
MOCS3	1	27304	
STON1	1	11037	
CHM	1	1121	
STON2	1	85439	
MCEE	1	84693	
ELOA	1	6924	
ELOB	1	6923	
RRP12	1	23223	
ELOC	1	6921	
CIC	1	23152	
RRP15	1	51018	
ZIK1	1	284307	
EDARADD	1	128178	
RPS6KL1	1	83694	
EXOC8	1	149371	
EXOC7	1	23265	
PLLP	1	51090	
C10orf88B	1	399815	
ECRG4	1	84417	
CIT	1	11113	
PCOTH	1	542767	
EXOC4	1	60412	
PLIN4	1	729359	
EXOC3	1	11336	
PLIN3	1	10226	
PLIN2	1	123	
EXOC6	1	54536	
EXOC5	1	10640	
PLIN1	1	5346	
RCCD1	1	91433	
MOCS1	1	4337	
EXOC2	1	55770	
PLIN5	1	440503	
EXOC1	1	55763	
NFIX	1	4784	
C1orf198	1	84886	
DCAF12L2	1	340578	
C1orf195	1	727684	
DCAF12L1	1	139170	
PRUNE2	1	158471	
C1orf194	1	127003	
PRUNE1	1	58497	
METTL21A	1	151194	
APOL5	1	80831	
APOL4	1	80832	
METTL21C	1	196541	
APOL6	1	80830	
RASSF10	1	644943	
RRP36	1	88745	
CKB	1	1152	
APOL1	1	8542	
PAIP2	1	51247	
ZIM2	1	23619	
APOL3	1	80833	
ZIM3	1	114026	
APOL2	1	23780	
PAIP1	1	10605	
HIPK4	1	147746	
BCHE	1	590	
CKM	1	1158	
MCF2	1	4168	
MOCOS	1	55034	
RFLNB	1	359845	
ELP1	1	8518	
ELP2	1	55250	
G0S2	1	50486	
ELP3	1	55140	
RRP1B	1	23076	
ELP4	1	26610	
ELP5	1	23587	
HIPK1	1	204851	
ELP6	1	54859	
HIPK3	1	10114	
HIPK2	1	28996	
RFLNA	1	144347	
NFIA	1	4774	
NFIB	1	4781	
NFIC	1	4782	
PLP1	1	5354	
FOSB	1	2354	
CLC	1	1178	
PLP2	1	5355	
TMEM229A	1	730130	
MSX2P1	1	55545	
TMEM229B	1	161145	
C1orf174	1	339448	
CLU	1	1191	
LCLAT1	1	253558	
THG1L	1	54974	
MT1DP	1	326343	
PODNL1	1	79883	
CFL2	1	1073	
CFL1	1	1072	
PLS3	1	5358	
OIP5	1	11339	
IL13RA2	1	3598	
AP001922.1	1	283214	
PLS1	1	5357	
IL13RA1	1	3597	
KCMF1	1	56888	
C1orf189	1	388701	
COL27A1	1	85301	
FKBPL	1	63943	
C1orf185	1	284546	
DIO1	1	1733	
DIO2	1	1734	
MIRLET7I	1	406891	
DIO3	1	1735	
MIRLET7G	1	406890	
LEMD3	1	23592	
FAM91A1	1	157769	
MIRLET7E	1	406887	
LEMD2	1	221496	
MIRLET7B	1	406884	
LEMD1	1	93273	
MIRLET7C	1	406885	
TOM1L1	1	10040	
TOM1L2	1	146691	
MTNR1A	1	4543	
OBSCN	1	84033	
MTNR1B	1	4544	
FKBP8	1	23770	
FKBP7	1	51661	
FKBP9	1	11328	
FKBP4	1	2288	
FKBP3	1	2287	
FKBP6	1	8468	
FKBP5	1	2289	
C1orf158	1	93190	
FKBP2	1	2286	
CNP	1	1267	
CD300LB	1	124599	
