"","x"
"419","AGRP"
"420","AGT"
"421","AGTPBP1"
"422","AGTR1"
"423","AGTR2"
"424","AGTRAP"
"425","AGXT"
"426","AGXT2"
"427","AGXT2L1"
"428","AGXT2L2"
"429","AHCTF1"
"430","AHCY"
"431","AHCYL1"
"432","AHCYL2"
"433","AHDC1"
"434","AHI1"
"435","AHNAK"
"436","AHNAK2"
"437","AHR"
"438","AHRR"
"439","AHSA1"
"440","AHSA2"
"441","AHSG"
"442","AHSP"
"443","AICDA"
"444","AIDA"
"445","AIF1"
"446","AIF1L"
"447","AIFM1"
"448","AIFM2"
"449","AIFM3"
"450","AIG1"
"451","AIM1"
"452","AIM1L"
"453","AIM2"
"454","AIMP1"
"455","AIMP2"
"456","AIP"
"457","AIPL1"
"458","AIRE"
"459","AJAP1"
"460","AK1"
"461","AK2"
"462","AK3"
"463","AK4"
"464","AK5"
"465","AK7"
"466","AKAP1"
"467","AKAP10"
"468","AKAP11"
"469","AKAP12"
"470","AKAP13"
"471","AKAP14"
"472","AKAP17A"
"473","AKAP2"
"474","AKAP3"
"475","AKAP4"
"476","AKAP5"
"477","AKAP6"
"478","AKAP7"
"479","AKAP8"
"480","AKAP8L"
"481","AKAP9"
"482","AKD1"
"483","AKIRIN1"
"484","AKIRIN2"
"485","AKNA"
"486","AKNAD1"
"487","AKR1A1"
"488","AKR1B1"
"489","AKR1B10"
"490","AKR1B15"
"491","AKR1C1"
"492","AKR1C2"
"493","AKR1C3"
"494","AKR1C4"
"495","AKR1CL1"
"496","AKR1D1"
"497","AKR1E2"
"498","AKR7A2"
"499","AKR7A2P1"
"500","AKR7A3"
"501","AKR7L"
"502","AKT1"
"503","AKT1S1"
"504","AKT2"
"505","AKT3"
"506","AKTIP"
"507","ALAD"
"508","ALAS1"
"509","ALAS2"
"510","ALB"
"511","ALCAM"
"512","ALDH16A1"
"513","ALDH18A1"
"514","ALDH1A1"
"515","ALDH1A2"
"516","ALDH1A3"
"517","ALDH1B1"
"518","ALDH1L1"
"519","ALDH1L2"
"520","ALDH2"
"521","ALDH3A1"
"522","ALDH3A2"
"523","ALDH3B1"
"524","ALDH3B2"
"525","ALDH4A1"
"526","ALDH5A1"
"527","ALDH6A1"
"528","ALDH7A1"
"529","ALDH8A1"
"530","ALDH9A1"
"531","ALDOA"
"532","ALDOAP2"
"533","ALDOB"
"534","ALDOC"
"535","ALG1"
"536","ALG10"
"537","ALG10B"
"538","ALG11"
"539","ALG12"
"540","ALG13"
"541","ALG14"
"542","ALG1L"
"543","ALG1L2"
"544","ALG2"
"545","ALG3"
"546","ALG5"
"547","ALG6"
"548","ALG8"
"549","ALG9"
"550","ALK"
"551","ALKBH1"
"552","ALKBH2"
"553","ALKBH3"
"554","ALKBH4"
"555","ALKBH5"
"556","ALKBH6"
"557","ALKBH7"
"558","ALKBH8"
"559","ALLC"
"560","ALMS1"
"561","ALMS1P"
"562","ALOX12"
"563","ALOX12B"
"564","ALOX12P2"
"565","ALOX15"
"566","ALOX15B"
"567","ALOX5"
"568","ALOX5AP"
"569","ALOXE3"
"570","ALPI"
"571","ALPK1"
"572","ALPK2"
"573","ALPK3"
"574","ALPL"
"575","ALPP"
"576","ALPPL2"
"577","ALS2"
"578","ALS2CL"
"579","ALS2CR10"
"580","ALS2CR11"
"581","ALS2CR12"
"582","ALS2CR4"
"583","ALS2CR8"
"584","ALX1"
"585","ALX3"
"586","ALX4"
"587","AMAC1"
"588","AMAC1L2"
"589","AMAC1L3"
"590","AMACR"
"591","AMBN"
"592","AMBP"
"593","AMBRA1"
"594","AMD1"
"595","AMDHD1"
"596","AMDHD2"
"597","AMELX"
"598","AMELY"
"599","AMFR"
"600","AMH"
"601","AMHR2"
"602","AMICA1"
"603","AMIGO1"
"604","AMIGO2"
"605","AMIGO3"
"606","AMMECR1"
"607","AMMECR1L"
"608","AMN"
"609","AMN1"
"610","AMOT"
"611","AMOTL1"
"612","AMOTL2"
"613","AMPD1"
"614","AMPD2"
"615","AMPD3"
"616","AMPH"
"617","AMT"
"618","AMTN"
"619","AMY1A"
"620","AMY2A"
"621","AMY2B"
"622","AMZ1"
"623","AMZ2"
"624","AMZ2P1"
"625","ANAPC1"
"626","ANAPC10"
"627","ANAPC11"
"628","ANAPC13"
"629","ANAPC16"
"630","ANAPC2"
"631","ANAPC4"
"632","ANAPC5"
"633","ANG"
"634","ANGEL1"
"635","ANGEL2"
"636","ANGPT1"
"637","ANGPT2"
"638","ANGPT4"
"639","ANGPTL1"
"640","ANGPTL2"
"641","ANGPTL3"
"642","ANGPTL4"
"643","ANGPTL5"
"644","ANGPTL6"
"645","ANGPTL7"
"646","ANK1"
"647","ANK2"
"648","ANK3"
"649","ANKAR"
"650","ANKDD1A"
"651","ANKFN1"
"652","ANKFY1"
"653","ANKH"
"654","ANKHD1"
"655","ANKHD1-EIF4EBP3"
"656","ANKIB1"
"657","ANKK1"
"658","ANKLE1"
"659","ANKLE2"
"660","ANKMY1"
"661","ANKMY2"
"662","ANKRA2"
"663","ANKRD1"
"664","ANKRD10"
"665","ANKRD11"
"666","ANKRD12"
"667","ANKRD13A"
"668","ANKRD13B"
"669","ANKRD13C"
"670","ANKRD13D"
"671","ANKRD16"
"672","ANKRD17"
"673","ANKRD18A"
"674","ANKRD18B"
"675","ANKRD19"
"676","ANKRD2"
"677","ANKRD20A1"
"678","ANKRD20A2"
"679","ANKRD20A5"
"680","ANKRD20B"
"681","ANKRD22"
"682","ANKRD23"
"683","ANKRD24"
"684","ANKRD26"
"685","ANKRD26P1"
"686","ANKRD27"
"687","ANKRD28"
"688","ANKRD29"
"689","ANKRD30A"
"690","ANKRD30B"
"691","ANKRD30BL"
"692","ANKRD30BP2"
"693","ANKRD31"
"694","ANKRD32"
"695","ANKRD33"
"696","ANKRD33B"
"697","ANKRD34A"
"698","ANKRD34B"
"699","ANKRD34C"
"700","ANKRD35"
"701","ANKRD36"
"702","ANKRD36B"
"703","ANKRD36BP1"
"704","ANKRD36BP2"
"705","ANKRD37"
"706","ANKRD39"
"707","ANKRD40"
"708","ANKRD42"
"709","ANKRD43"
"710","ANKRD44"
"711","ANKRD45"
"712","ANKRD46"
"713","ANKRD49"
"714","ANKRD5"
"715","ANKRD50"
"716","ANKRD52"
"717","ANKRD53"
"718","ANKRD54"
"719","ANKRD55"
"720","ANKRD56"
"721","ANKRD57"
"722","ANKRD58"
"723","ANKRD6"
"724","ANKRD60"
"725","ANKRD61"
"726","ANKRD62"
"727","ANKRD7"
"728","ANKRD9"
"729","ANKS1A"
"730","ANKS1B"
"731","ANKS3"
"732","ANKS4B"
"733","ANKS6"
"734","ANKZF1"
"735","ANLN"
"736","ANO1"
"737","ANO10"
"738","ANO2"
"739","ANO3"
"740","ANO4"
"741","ANO5"
"742","ANO6"
"743","ANO7"
"744","ANO7L1"
"745","ANO8"
"746","ANO9"
"747","ANP32A"
"748","ANP32B"
"749","ANP32BP1"
"750","ANP32C"
"751","ANP32D"
"752","ANP32E"
"753","ANPEP"
"754","ANTXR1"
"755","ANTXR2"
"756","ANTXRL"
"757","ANUBL1"
"758","ANXA1"
"759","ANXA10"
"760","ANXA11"
"761","ANXA13"
"762","ANXA2"
"763","ANXA2P1"
"764","ANXA2P2"
"765","ANXA2P3"
"766","ANXA3"
"767","ANXA4"
"768","ANXA5"
"769","ANXA6"
"770","ANXA7"
"771","ANXA8"
"772","ANXA8L1"
"773","ANXA8L2"
"774","ANXA9"
"775","AOAH"
"776","AOC2"
"777","AOC3"
"778","AOX1"
"779","AOX2P"
"780","AP1AR"
"781","AP1B1"
"782","AP1G1"
"783","AP1G2"
"784","AP1M1"
"785","AP1M2"
"786","AP1S1"
"787","AP1S2"
"788","AP1S3"
"789","AP2A1"
"790","AP2A2"
"791","AP2B1"
"792","AP2M1"
"793","AP2S1"
"794","AP3B1"
"795","AP3B2"
"796","AP3D1"
"797","AP3M1"
"798","AP3M2"
"799","AP3S1"
"800","AP3S2"
"801","AP4B1"
"802","AP4E1"
"803","AP4M1"
"804","AP4S1"
"805","APAF1"
"806","APBA1"
"807","APBA2"
"808","APBA3"
"809","APBB1"
"810","APBB1IP"
"811","APBB2"
"812","APBB3"
"813","APC"
"814","APC2"
"815","APCDD1"
"816","APCDD1L"
"817","APCS"
"818","APEH"
"819","APEX1"
"820","APEX2"
"821","APH1A"
"822","APH1B"
"823","API5"
"824","APIP"
"825","APITD1"
"826","APITD1-CORT"
"827","APLF"
"828","APLN"
"829","APLNR"
"830","APLP1"
"831","APLP2"
"832","APOA1"
"833","APOA1BP"
"834","APOA2"
"835","APOA4"
"836","APOA5"
"837","APOB"
"838","APOB48R"
"839","APOBEC1"
"840","APOBEC2"
"841","APOBEC3A"
"842","APOBEC3B"
"843","APOBEC3C"
"844","APOBEC3D"
"845","APOBEC3F"
"846","APOBEC3G"
"847","APOBEC3H"
"848","APOBEC4"
"849","APOC1"
"850","APOC1P1"
"851","APOC2"
"852","APOC3"
"853","APOC4"
"854","APOD"
"855","APOE"
"856","APOF"
"857","APOH"
"858","APOL1"
"859","APOL2"
"860","APOL3"
"861","APOL4"
"862","APOL5"
"863","APOL6"
"864","APOLD1"
"865","APOM"
"866","APOO"
"867","APOOL"
"868","APP"
"869","APPBP2"
"870","APPL1"
"871","APPL2"
"872","APRT"
"873","APTX"
"874","AQP1"
"875","AQP10"
"876","AQP11"
"877","AQP12A"
"878","AQP12B"
"879","AQP2"
"880","AQP3"
"881","AQP4"
"882","AQP5"
"883","AQP6"
"884","AQP7"
"885","AQP7P1"
"886","AQP8"
"887","AQP9"
"888","AQPEP"
"889","AQR"
"890","AR"
"891","ARAF"
"892","ARAF2P"
"893","ARAP1"
"894","ARAP2"
"895","ARAP3"
"896","ARC"
"897","ARCN1"
"898","AREG"
"899","ARF1"
"900","ARF3"
"901","ARF4"
"902","ARF5"
"903","ARF6"
"904","ARFGAP1"
"905","ARFGAP2"
"906","ARFGAP3"
"907","ARFGEF1"
"908","ARFGEF2"
"909","ARFIP1"
"910","ARFIP2"
"911","ARFRP1"
"912","ARG1"
"913","ARG2"
"914","ARGFX"
"915","ARGFXP2"
"916","ARGLU1"
"917","ARHGAP1"
"918","ARHGAP10"
"919","ARHGAP11A"
"920","ARHGAP11B"
"921","ARHGAP12"
"922","ARHGAP15"
"923","ARHGAP17"
"924","ARHGAP18"
"925","ARHGAP19"
"926","ARHGAP20"
"927","ARHGAP21"
"928","ARHGAP22"
"929","ARHGAP23"
"930","ARHGAP24"
"931","ARHGAP25"
"932","ARHGAP26"
"933","ARHGAP27"
"934","ARHGAP28"
"935","ARHGAP29"
"936","ARHGAP30"
"937","ARHGAP31"
"938","ARHGAP32"
"939","ARHGAP33"
"940","ARHGAP36"
"941","ARHGAP39"
"942","ARHGAP4"
"943","ARHGAP40"
"944","ARHGAP42"
"945","ARHGAP44"
"946","ARHGAP5"
"947","ARHGAP6"
"948","ARHGAP8"
"949","ARHGAP9"
"950","ARHGDIA"
"951","ARHGDIB"
"952","ARHGDIG"
"953","ARHGEF1"
"954","ARHGEF10"
"955","ARHGEF10L"
"956","ARHGEF11"
"957","ARHGEF12"
"958","ARHGEF15"
"959","ARHGEF16"
"960","ARHGEF17"
"961","ARHGEF18"
"962","ARHGEF19"
"963","ARHGEF2"
"964","ARHGEF25"
"965","ARHGEF26"
"966","ARHGEF3"
"967","ARHGEF33"
"968","ARHGEF35"
"969","ARHGEF37"
"970","ARHGEF38"
"971","ARHGEF4"
"972","ARHGEF40"
"973","ARHGEF5"
"974","ARHGEF6"
"975","ARHGEF7"
"976","ARHGEF9"
"977","ARID1A"
"978","ARID1B"
"979","ARID2"
"980","ARID3A"
"981","ARID3B"
"982","ARID4A"
"983","ARID4B"
"984","ARID5A"
"985","ARID5B"
"986","ARIH1"
"987","ARIH2"
"988","ARL1"
"989","ARL10"
"990","ARL11"
"991","ARL13A"
"992","ARL13B"
"993","ARL14"
"994","ARL15"
"995","ARL16"
"996","ARL17A"
"997","ARL17B"
"998","ARL2"
"999","ARL2BP"
"1000","ARL3"
"1001","ARL4A"
"1002","ARL4C"
"1003","ARL4D"
"1004","ARL5A"
"1005","ARL5B"
"1006","ARL5C"
"1007","ARL6"
"1008","ARL6IP1"
"1009","ARL6IP4"
"1010","ARL6IP5"
"1011","ARL6IP6"
"1012","ARL8A"
"1013","ARL8B"
"1014","ARL9"
"1015","ARMC1"
"1016","ARMC10"
"1017","ARMC2"
"1018","ARMC3"
"1019","ARMC4"
"1020","ARMC5"
"1021","ARMC6"
"1022","ARMC7"
"1023","ARMC8"
"1024","ARMC9"
"1025","ARMCX1"
"1026","ARMCX2"
"1027","ARMCX3"
"1028","ARMCX4"
"1029","ARMCX5"
"1030","ARMCX6"
"1031","ARMS2"
"1032","ARNT"
"1033","ARNT2"
"1034","ARNTL"
"1035","ARNTL2"
"1036","ARPC1A"
"1037","ARPC1B"
"1038","ARPC2"
"1039","ARPC3"
"1040","ARPC4"
"1041","ARPC5"
"1042","ARPC5L"
"1043","ARPM1"
"1044","ARPP19"
"1045","ARPP21"
"1046","ARR3"
"1047","ARRB1"
"1048","ARRB2"
"1049","ARRDC1"
"1050","ARRDC2"
"1051","ARRDC3"
"1052","ARRDC4"
"1053","ARRDC5"
"1054","ARSA"
"1055","ARSB"
"1056","ARSD"
"1057","ARSE"
"1058","ARSF"
"1059","ARSG"
"1060","ARSH"
"1061","ARSI"
"1062","ARSJ"
"1063","ARSK"
"1064","ART1"
"1065","ART3"
"1066","ART4"
"1067","ART5"
"1068","ARTN"
"1069","ARV1"
"1070","ARVCF"
"1071","ARVP6125"
"1072","ARX"
"1073","AS3MT"
"1074","ASAH1"
"1075","ASAH2"
"1076","ASAH2B"
"1077","ASAM"
"1078","ASAP1"
"1079","ASAP1-IT"
"1080","ASAP2"
"1081","ASAP3"
"1082","ASB1"
"1083","ASB10"
"1084","ASB11"
"1085","ASB12"
"1086","ASB13"
"1087","ASB14"
"1088","ASB15"
"1089","ASB16"
"1090","ASB17"
"1091","ASB18"
"1092","ASB2"
"1093","ASB3"
"1094","ASB4"
"1095","ASB5"
"1096","ASB6"
"1097","ASB7"
"1098","ASB8"
"1099","ASB9"
"1100","ASB9P1"
"1101","ASCC1"
"1102","ASCC2"
"1103","ASCC3"
"1104","ASCL1"
"1105","ASCL2"
"1106","ASCL3"
"1107","ASCL4"
"1108","ASCL5"
"1109","ASF1A"
