NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MODULE_257	156	156		
MODULE_259	46	45		
MODULE_261	100	98		
MODULE_262	19	19		
MODULE_263	45	45		
MODULE_264	11		Rejected!	
MODULE_265	29	29		
MODULE_267	15	15		
MODULE_272	12		Rejected!	
MODULE_273	52	51		
MODULE_274	82	82		
MODULE_275	16	16		
MODULE_277	55	55		
MODULE_278	34	34		
MODULE_279	141	141		
MODULE_280	45	45		
MODULE_281	28	28		
MODULE_284	45	45		
MODULE_285	49	48		
MODULE_286	37	37		
MODULE_287	50	50		
MODULE_288	37	36		
MODULE_289	124	122		
MODULE_291	65	64		
MODULE_292	136	131		
MODULE_293	12		Rejected!	
MODULE_294	18	18		
MODULE_295	21	21		
MODULE_297	80	80		
MODULE_298	26	26		
MODULE_299	35	35		
MODULE_300	33	32		
MODULE_301	158	155		
MODULE_303	28	28		
MODULE_305	19	19		
MODULE_306	26	26		
MODULE_307	25	25		
MODULE_308	71	71		
MODULE_310	22	22		
MODULE_311	18	18		
MODULE_312	47	47		
MODULE_313	19	18		
MODULE_315	16	16		
MODULE_316	70	70		
MODULE_317	440	434		
MODULE_318	28	28		
MODULE_320	20	20		
MODULE_321	112	112		
MODULE_322	59	57		
MODULE_323	61	61		
MODULE_324	133	132		
MODULE_325	53	53		
MODULE_326	13		Rejected!	
MODULE_327	21	21		
MODULE_328	14		Rejected!	
MODULE_329	51	51		
MODULE_330	28	28		
MODULE_331	75	74		
MODULE_332	45	45		
MODULE_333	29	28		
MODULE_334	166	166		
MODULE_335	14		Rejected!	
MODULE_337	64	64		
MODULE_340	26	26		
MODULE_341	84	83		
MODULE_342	213	211		
MODULE_343	25	25		
MODULE_345	126	119		
MODULE_346	17	17		
MODULE_349	17	17		
MODULE_350	59	58		
MODULE_352	17	17		
MODULE_354	18	18		
MODULE_355	29	29		
MODULE_356	150	150		
MODULE_357	80	80		
MODULE_358	80	78		
MODULE_360	14		Rejected!	
MODULE_361	149	146		
MODULE_362	21	21		
MODULE_363	49	49		
MODULE_366	33	32		
MODULE_367	29	29		
MODULE_368	18	18		
MODULE_371	26	26		
MODULE_372	24	24		
MODULE_373	22	22		
MODULE_375	90	89		
MODULE_377	11		Rejected!	
MODULE_378	435	429		
MODULE_379	203	202		
MODULE_381	12		Rejected!	
MODULE_382	28	28		
MODULE_385	28	27		
MODULE_387	49	49		
MODULE_388	17	17		
MODULE_389	216	213		
MODULE_392	18	18		
MODULE_395	14		Rejected!	
MODULE_396	12		Rejected!	
MODULE_397	121	121		
MODULE_399	52	52		
MODULE_400	19	19		
MODULE_401	16	16		
MODULE_402	12		Rejected!	
MODULE_403	46	46		
MODULE_404	26	26		
MODULE_407	13		Rejected!	
MODULE_408	18	18		
MODULE_410	36	36		
MODULE_411	80	79		
MODULE_412	13		Rejected!	
