NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_478	MODULE_478		19	-0.61417985	-1.2774729	0.20355731	1.0	0.952	5102	tags=68%, list=25%, signal=91%	
MODULE_155	MODULE_155		25	-0.47526765	-1.2687333	0.26272914	1.0	0.956	4553	tags=36%, list=22%, signal=46%	
MODULE_114	MODULE_114		336	-0.4118118	-1.2623467	0.26506025	1.0	0.958	4885	tags=42%, list=24%, signal=55%	
MODULE_308	MODULE_308		71	-0.42110834	-1.2620519	0.19526628	1.0	0.958	3552	tags=31%, list=18%, signal=37%	
MODULE_430	MODULE_430		55	-0.40357378	-1.248638	0.28024194	1.0	0.961	4262	tags=40%, list=21%, signal=50%	
MODULE_534	MODULE_534		18	-0.62557304	-1.2473488	0.2734694	1.0	0.961	2455	tags=50%, list=12%, signal=57%	
MODULE_222	MODULE_222		22	-0.64239806	-1.2460958	0.26612905	1.0	0.961	2455	tags=64%, list=12%, signal=72%	
MODULE_125	MODULE_125		44	-0.6671597	-1.2453128	0.2962963	1.0	0.961	3797	tags=61%, list=19%, signal=75%	
MODULE_118	MODULE_118		405	-0.43023854	-1.241004	0.19367589	1.0	0.961	3943	tags=41%, list=19%, signal=50%	
MODULE_191	MODULE_191		19	-0.6364724	-1.2376336	0.218	1.0	0.962	3258	tags=42%, list=16%, signal=50%	
MODULE_151	MODULE_151		316	-0.40492177	-1.2371364	0.28143713	1.0	0.962	4885	tags=42%, list=24%, signal=55%	
MODULE_158	MODULE_158		43	-0.6816528	-1.2369686	0.31546393	1.0	0.962	2428	tags=53%, list=12%, signal=61%	
MODULE_109	MODULE_109		38	-0.5374232	-1.2303902	0.25465837	1.0	0.963	4597	tags=47%, list=23%, signal=61%	
MODULE_355	MODULE_355		29	-0.46561736	-1.2287635	0.27586207	1.0	0.964	3119	tags=34%, list=15%, signal=41%	
MODULE_397	MODULE_397		121	-0.44918054	-1.2281693	0.29012346	1.0	0.964	2325	tags=33%, list=11%, signal=37%	
MODULE_262	MODULE_262		19	-0.62994075	-1.2247419	0.23952095	1.0	0.964	3258	tags=42%, list=16%, signal=50%	
MODULE_57	MODULE_57		56	-0.62978756	-1.2224624	0.32719836	1.0	0.964	2897	tags=57%, list=14%, signal=66%	
MODULE_149	MODULE_149		37	-0.4322592	-1.2170408	0.3181818	1.0	0.966	3927	tags=32%, list=19%, signal=40%	
MODULE_245	MODULE_245		26	-0.45360976	-1.2148883	0.2927835	1.0	0.967	4553	tags=35%, list=22%, signal=45%	
MODULE_197	MODULE_197		173	-0.41825673	-1.2136604	0.26242545	1.0	0.967	3714	tags=36%, list=18%, signal=44%	
MODULE_388	MODULE_388		17	-0.5595137	-1.208771	0.328	1.0	0.968	2758	tags=41%, list=14%, signal=48%	
MODULE_83	MODULE_83		319	-0.40202412	-1.208365	0.3204868	1.0	0.968	4885	tags=40%, list=24%, signal=52%	
MODULE_110	MODULE_110		16	-0.4707933	-1.2078921	0.30632412	1.0	0.968	3294	tags=38%, list=16%, signal=45%	
MODULE_168	MODULE_168		22	-0.62899953	-1.2062727	0.30784708	1.0	0.97	2455	tags=64%, list=12%, signal=72%	
MODULE_299	MODULE_299		35	-0.42622882	-1.2017086	0.29607844	1.0	0.971	4553	tags=40%, list=22%, signal=51%	
MODULE_204	MODULE_204		85	-0.37721136	-1.1954165	0.22016461	1.0	0.974	2092	tags=26%, list=10%, signal=29%	
MODULE_522	MODULE_522		34	-0.46988735	-1.1876935	0.31526104	1.0	0.975	5268	tags=59%, list=26%, signal=79%	
MODULE_291	MODULE_291		64	-0.48396367	-1.1767238	0.3083004	1.0	0.975	3882	tags=39%, list=19%, signal=48%	
MODULE_81	MODULE_81		20	-0.44140998	-1.1735387	0.33061224	1.0	0.975	4937	tags=40%, list=24%, signal=53%	
MODULE_440	MODULE_440		19	-0.5016706	-1.1734776	0.29126215	1.0	0.975	2030	tags=26%, list=10%, signal=29%	
MODULE_244	MODULE_244		187	-0.42760178	-1.1689398	0.33333334	1.0	0.977	4086	tags=42%, list=20%, signal=52%	
MODULE_547	MODULE_547		15	-0.52533597	-1.1664579	0.27572018	1.0	0.977	3922	tags=47%, list=19%, signal=58%	
MODULE_35	MODULE_35		16	-0.45300618	-1.1624146	0.3715415	1.0	0.977	3294	tags=38%, list=16%, signal=45%	
MODULE_315	MODULE_315		16	-0.6791385	-1.1543256	0.38289204	1.0	0.979	1781	tags=63%, list=9%, signal=68%	
MODULE_416	MODULE_416		23	-0.40617234	-1.15366	0.26824456	0.99635565	0.979	932	tags=22%, list=5%, signal=23%	
MODULE_71	MODULE_71		22	-0.41923812	-1.1446815	0.2631579	1.0	0.979	1942	tags=23%, list=10%, signal=25%	
MODULE_108	MODULE_108		56	-0.5451616	-1.141	0.34122288	1.0	0.98	3509	tags=41%, list=17%, signal=50%	
MODULE_318	MODULE_318		28	-0.45998207	-1.1386681	0.36220473	0.99513173	0.981	3939	tags=39%, list=19%, signal=49%	
MODULE_198	MODULE_198		303	-0.4160067	-1.137222	0.37171718	0.982658	0.981	4082	tags=37%, list=20%, signal=46%	
MODULE_32	MODULE_32		241	-0.36286294	-1.1356246	0.3836978	0.9719223	0.981	5536	tags=42%, list=27%, signal=58%	
MODULE_484	MODULE_484		42	-0.38160795	-1.1336008	0.38367346	0.9634596	0.981	4262	tags=40%, list=21%, signal=51%	
MODULE_252	MODULE_252		237	-0.43614203	-1.1333007	0.3976143	0.9489814	0.981	3493	tags=34%, list=17%, signal=41%	
MODULE_424	MODULE_424		18	-0.5861021	-1.1305174	0.37171718	0.9428248	0.982	5102	tags=67%, list=25%, signal=89%	
MODULE_458	MODULE_458		38	-0.4029544	-1.1271418	0.28431374	0.9393964	0.983	1551	tags=18%, list=8%, signal=20%	
MODULE_372	MODULE_372		24	-0.50031376	-1.1079131	0.39756593	0.98273784	0.986	3289	tags=42%, list=16%, signal=50%	
MODULE_76	MODULE_76		81	-0.5768411	-1.1054751	0.40365112	0.97594285	0.987	4030	tags=49%, list=20%, signal=61%	
MODULE_130	MODULE_130		23	-0.6400811	-1.0991347	0.42772278	0.98010224	0.989	5543	tags=87%, list=27%, signal=120%	
MODULE_52	MODULE_52		427	-0.37039015	-1.085345	0.37979797	1.0	0.99	3313	tags=33%, list=16%, signal=39%	
MODULE_234	MODULE_234		54	-0.47869354	-1.0806742	0.39175257	1.0	0.99	4236	tags=44%, list=21%, signal=56%	
MODULE_105	MODULE_105		198	-0.3517903	-1.0784401	0.37242797	0.9964332	0.99	3909	tags=34%, list=19%, signal=42%	
MODULE_120	MODULE_120		71	-0.33798274	-1.0770459	0.36223507	0.9869916	0.991	2004	tags=18%, list=10%, signal=20%	
MODULE_160	MODULE_160		15	-0.4354185	-1.0768002	0.4265873	0.9741559	0.991	3294	tags=33%, list=16%, signal=40%	
MODULE_138	MODULE_138		86	-0.34445542	-1.0760263	0.35020244	0.963109	0.991	3515	tags=29%, list=17%, signal=35%	
MODULE_133	MODULE_133		15	-0.44295138	-1.0752112	0.42828685	0.95249534	0.992	3294	tags=33%, list=16%, signal=40%	
MODULE_58	MODULE_58		21	-0.628809	-1.0741748	0.4466403	0.94271344	0.992	5543	tags=86%, list=27%, signal=118%	
MODULE_382	MODULE_382		28	-0.47126812	-1.0741017	0.36220473	0.9306653	0.992	2800	tags=36%, list=14%, signal=41%	
MODULE_177	MODULE_177		100	-0.45909762	-1.0697544	0.41164657	0.9305794	0.992	3686	tags=35%, list=18%, signal=43%	
MODULE_488	MODULE_488		29	-0.4793643	-1.0625653	0.41650295	0.93741393	0.993	2437	tags=38%, list=12%, signal=43%	
MODULE_73	MODULE_73		23	-0.5919975	-1.0511289	0.46028513	0.9566723	0.993	7400	tags=83%, list=36%, signal=130%	
MODULE_320	MODULE_320		20	-0.5904696	-1.0481526	0.52674896	0.95215106	0.993	3714	tags=60%, list=18%, signal=73%	
MODULE_96	MODULE_96		37	-0.50645727	-1.0407451	0.454	0.95958465	0.994	3444	tags=35%, list=17%, signal=42%	
