"","Row.names","ADCY1","ADCY8","CAMK2A","CAMK2B","CAMK2G","CAMK4","CREB1","MAPK1","NBEA","PDE1A","PDE1C","PLA2G4A","PRKACB","PRKAR2B","PRKCD","EFS_fct"
"87","PAIWHU",9.520396,6.12198,7.061917,9.007102,9.299171,8.738466,8.745675,9.034113,9.132112,4.858853,6.206605,4.12854,8.357554,8.635015,7.139359,"EFS_G5"
"88","PAIWVG",7.450003,6.72985,7.482307,7.329577,8.592936,6.501404,7.835311,8.332884,8.498866,5.329557,5.210056,4.338546,6.836419,7.907806,7.123068,"EFS_L5"
"89","PAIXLC",9.691388,4.838528,6.626988,7.975272,9.359765,8.405812,9.178662,8.859082,9.366345,5.655337,5.602866,4.819332,8.133142,8.438474,7.483682,"EFS_G5"
"90","PAIXNG",7.147337,5.105067,6.159519,6.296919,8.104966,6.045643,8.719029,8.476021,7.452925,4.269177,4.932886,4.035957,5.824873,7.141387,7.88899,"EFS_L5"
"92","PAJYHP",9.135562,5.345071,7.139333,8.027273,7.906649,6.458037,8.738056,8.772819,8.820356,5.636053,5.035908,4.31494,7.851575,8.295622,7.463354,"EFS_L5"
"93","PAJYLA",7.729143,7.234671,6.794818,7.223302,8.253701,8.007086,8.355124,8.47883,8.709419,5.905602,5.23564,4.722348,7.58884,9.101531,7.407869,"EFS_L5"
"94","PAJYVA",8.245798,5.32954,6.349539,7.732447,8.384052,7.444618,8.510417,8.204953,8.473516,5.142224,6.077165,4.035167,6.799662,7.954218,6.540614,"EFS_L5"
"95","PAJZUU",7.267513,5.101934,6.548277,6.526824,8.3803,8.556464,7.61224,8.170097,7.891956,4.023561,5.084526,3.637311,6.666163,8.394168,7.105877,"EFS_L5"
"96","PAJZWL",8.817363,6.580712,6.417466,7.641334,8.32869,8.669559,8.670511,9.320539,9.160305,5.055035,5.035939,4.597511,7.51199,8.171815,7.119301,"EFS_L5"
"97","PAKACY",6.929281,5.602562,6.256274,7.156454,7.991888,8.801978,8.73669,8.161571,9.129935,4.281345,4.793621,3.764698,7.292502,8.372593,6.050639,"EFS_L5"
"98","PAKADI",9.820969,6.205561,7.726182,9.529794,8.520855,6.766612,9.026405,9.172044,10.270479,5.299391,5.321704,4.308115,8.578753,9.391289,6.985944,"EFS_L5"
"99","PAKAFK",8.527062,4.799726,6.802871,6.533097,8.969209,9.191999,9.332691,9.274816,9.497795,4.966565,5.214729,3.951438,8.277106,9.251727,6.924362,"EFS_G5"
"100","PAKANZ",6.325119,7.860538,7.274338,6.741182,8.399131,6.691822,8.545503,8.833142,8.76873,4.798128,4.835587,3.980307,7.10259,9.071862,6.344961,"EFS_L5"
"101","PAKDHL",8.997428,5.258338,6.732363,7.50118,8.596297,8.403383,9.285701,8.872498,10.163779,4.767418,5.731844,3.937568,7.413667,8.745645,6.697525,"EFS_L5"
"102","PAKGCI",8.937694,4.954893,7.119726,8.278145,9.394698,9.192083,8.748727,9.238032,9.462266,4.354352,5.08413,4.469894,8.548658,8.651908,7.26104,"EFS_G5"
"103","PAKGKH",8.974432,6.402422,8.109972,8.261339,9.136501,7.396476,8.558459,9.311922,9.322369,5.331475,5.206443,3.816085,8.004252,8.561296,7.432992,"EFS_L5"
"104","PAKGMY",7.954525,6.339429,6.393169,7.339894,8.166656,7.086569,8.101545,7.883623,8.094877,4.662188,4.879378,3.925617,6.060181,8.127584,6.611496,"EFS_L5"
"105","PAKHAV",10.190828,6.135364,6.893255,8.764579,9.336196,8.551593,8.806979,9.268628,8.794156,5.285147,5.42676,4.575766,8.478177,9.386919,8.377094,"EFS_L5"
"106","PAKINP",10.17606,4.793639,9.410013,8.958869,10.0937,8.328858,8.660253,8.973527,9.774419,4.977242,5.609655,3.789052,8.647988,8.643056,7.644543,"EFS_G5"
"107","PAKJBA",9.384622,4.786215,6.171444,7.153777,9.439808,8.2105,9.598385,9.516435,8.465818,4.739918,4.913048,3.861389,8.076932,9.354533,7.247245,"EFS_G5"
"108","PAKSWB",9.967187,5.225339,7.566213,8.26834,9.225079,9.207365,9.207107,9.06965,9.718367,4.89554,6.839786,3.824142,8.678988,8.809554,7.557808,"EFS_G5"
"109","PAKUXT",8.913727,5.468721,8.468068,8.449941,9.451505,8.890448,8.791477,9.389166,9.784667,5.279197,5.339799,4.662777,7.766926,8.734024,7.329306,"EFS_L5"
"110","PAKWCJ",9.153209,5.954054,6.70028,8.600147,9.205495,8.655585,8.516494,8.724014,9.30266,4.661797,5.663694,4.504443,8.10878,8.718293,7.077176,"EFS_G5"
"111","PAKXDZ",7.901577,4.834647,6.248464,7.836012,8.43799,9.355263,8.438729,8.349815,8.547563,4.695505,4.636459,4.054135,6.870516,8.538002,6.553041,"EFS_L5"
"112","PAKYZS",8.317322,6.455563,9.202817,8.266518,9.215745,7.036105,7.804524,9.06465,8.705422,5.728686,5.880722,4.602518,7.620259,8.173465,7.880104,"EFS_L5"
"113","PALAWZ",8.83726,7.826597,6.978697,7.623153,8.449749,6.523865,7.653166,9.00589,8.397182,5.231468,5.225185,4.668377,7.450891,8.705933,7.575229,"EFS_L5"
"114","PALBFV",8.629192,5.022915,5.993833,6.533611,8.856175,5.391909,8.887406,8.652461,8.912425,4.28126,4.583898,3.644356,7.554935,8.51264,6.908308,"EFS_L5"
"115","PALBFW",8.437458,5.610189,8.766978,8.241223,9.288847,7.846146,8.71462,9.224384,9.562783,5.636998,5.083747,4.021808,8.27478,8.890811,7.465299,"EFS_L5"
"116","PALEAC",9.994398,5.093856,6.962625,8.142326,9.352703,8.638838,9.062866,9.087593,9.130766,5.025187,4.707618,4.759387,8.696871,9.290672,8.128814,"EFS_G5"
"117","PALEBK",9.300551,5.673094,6.889406,8.149981,9.458683,9.089589,8.835959,9.441745,10.076692,4.74472,5.019221,4.407682,8.285002,8.957374,7.267274,"EFS_G5"
"118","PALETP",7.715658,5.22706,7.863392,7.649664,7.815212,7.090541,9.369931,8.724346,8.735655,5.157515,5.582107,4.275833,7.930496,8.575275,7.222237,"EFS_L5"
"119","PALFRE",8.306199,4.947649,6.933905,8.201625,8.765634,9.321396,8.588095,9.079194,8.433954,4.252212,4.903109,4.450375,8.459112,7.623834,7.651605,"EFS_L5"
"120","PALFSE",9.080694,5.445017,8.046081,8.439515,9.145715,9.465862,8.897481,9.55443,8.77306,6.189205,5.926554,6.341301,8.784895,10.497692,8.06952,"EFS_G5"
"121","PALGFF",9.332424,6.180296,6.63191,8.884132,8.799279,9.680903,8.656102,9.167553,9.698511,4.840997,5.367816,3.988314,8.444726,9.32075,7.34349,"EFS_L5"
"122","PALHVD",9.229596,6.436458,6.917173,7.85852,8.567335,6.717522,8.533268,8.360432,9.191481,4.939939,5.224082,3.990676,7.272811,8.805644,7.202318,"EFS_L5"
"123","PALIIN",9.091715,4.758193,6.131129,6.644568,8.370081,7.009559,9.214235,8.688139,9.885683,4.720166,4.576294,4.48337,7.805875,8.966991,7.36754,"EFS_L5"
"124","PALKKV",9.850776,4.867438,8.536577,9.01505,9.727694,8.433807,8.65081,9.313855,9.705076,4.986811,5.693852,4.243844,8.624498,8.745508,7.801788,"EFS_G5"
"125","PALKUC",7.403084,5.179495,6.615743,7.096337,8.061183,6.297289,7.463328,8.18834,7.116708,5.81674,5.16669,4.764838,5.949925,7.091697,7.249207,"EFS_G5"
"126","PALLJJ",8.37891,6.729883,8.033877,8.221126,8.955033,8.304854,8.429557,9.451991,9.04803,5.645034,7.125302,4.103228,8.644907,8.841841,8.636755,"EFS_G5"
"127","PALNFE",9.682658,6.434301,7.149623,8.508099,9.307292,8.726135,8.485446,8.867446,9.458784,4.498249,5.812333,3.912871,8.190681,8.829768,7.180878,"EFS_G5"
"128","PALNHZ",9.028306,4.677535,6.421011,7.747749,8.658108,7.227694,8.516562,8.863132,9.002258,4.418041,5.050916,3.884834,7.325105,8.232867,7.120072,"EFS_L5"
"129","PALNVP",8.820704,5.033021,7.811546,8.525655,9.712802,10.061908,8.732515,9.360111,9.923611,4.518273,6.626507,4.206003,8.740418,9.185398,8.077892,"EFS_G5"
"130","PALPIN",9.394633,5.1837,6.055298,8.2235,9.009124,9.221526,8.657542,8.437398,9.519011,5.346441,5.660234,4.255057,8.317357,8.045084,7.529215,"EFS_G5"
"131","PALPSY",9.42842,4.62279,6.315022,7.712557,9.22024,9.551235,9.032745,9.243101,9.481859,5.208459,4.950996,4.237949,8.128762,8.634837,7.639282,"EFS_G5"
"132","PALSAE",8.805108,5.168013,6.282219,7.149775,8.772441,7.742173,8.598394,8.64078,8.680345,5.276158,4.839325,4.375287,7.377757,8.441428,7.009928,"EFS_L5"
"133","PALTYB",8.073028,7.104692,9.179273,8.610767,9.594146,6.907139,8.647514,9.828545,8.829524,7.195651,6.226123,5.39452,8.422293,9.499271,9.094572,"EFS_L5"
"134","PALUDH",8.712863,5.502744,7.57184,8.220593,8.892387,8.656355,8.677995,9.012628,9.15506,4.501772,6.154607,3.912556,8.268822,8.920773,7.112832,"EFS_G5"
"135","PALUYS",8.755809,5.578849,6.707034,7.718951,8.559582,6.950378,8.656582,8.377554,8.994038,4.797067,5.131889,4.127195,7.405931,8.60626,7.578467,"EFS_L5"
