"","Row.names","CDC42","CRK","EFNB2","EFNB3","EPHB3","GRB7","GRIA1","ITSN1","KALRN","KRAS","MAP2K1","MAP4K4","MAPK1","NRAS","PAK1","PIK3R1","PTK2","RAP1A","RAP1B","RASA1","SHC1","SYNJ1","WASL","EFS_fct"
"104","PAKGMY",8.260216,8.21216,7.947561,6.951429,6.598768,6.85912,7.398679,7.296292,7.188008,6.802734,7.532633,9.10341,7.883623,8.725509,7.894771,7.662388,8.250327,6.451924,6.569835,7.767678,8.320442,7.004096,8.047077,"EFS_L5"
"105","PAKHAV",9.478577,9.17051,8.532322,8.689819,7.520973,5.87332,7.948648,7.676654,7.31317,8.852409,8.498773,8.921008,9.268628,9.978238,8.92898,9.180549,8.679417,7.385629,8.398867,7.879256,8.823032,8.089297,8.883374,"EFS_L5"
"106","PAKINP",9.367313,8.988274,8.545729,8.422629,7.351593,6.74803,8.527161,8.066671,8.18503,8.415976,8.221396,9.319088,8.973527,9.582137,8.420714,9.52801,9.146173,7.333434,7.968966,9.030642,8.844062,8.572204,8.650705,"EFS_G5"
"107","PAKJBA",9.580608,9.236028,8.358598,7.477115,6.891521,6.61649,5.267718,7.863848,7.594,8.566055,8.282513,9.753452,9.516435,9.819258,8.332954,9.277934,8.745205,7.36079,8.225583,8.113253,9.021233,8.277173,9.035305,"EFS_G5"
"108","PAKSWB",9.488237,8.965529,8.091985,7.790958,7.003856,6.58711,8.666643,7.935131,8.030443,8.522067,7.686681,9.526809,9.06965,9.66773,7.856312,9.502184,9.215542,7.520742,7.801155,8.61218,9.782823,8.018809,8.420728,"EFS_G5"
"109","PAKUXT",9.667109,8.515264,7.685454,8.034098,7.974414,6.69539,8.23497,7.971411,8.363358,7.970233,8.208991,9.106943,9.389166,9.785419,7.950259,9.817123,9.217261,7.087101,8.219488,8.347175,9.85508,8.391728,8.706273,"EFS_L5"
"110","PAKWCJ",9.042193,8.617538,8.155207,7.786053,7.834371,6.86832,8.447942,7.226746,7.786936,7.852973,8.234471,9.121401,8.724014,9.447412,8.081415,9.458015,8.644227,6.697928,7.643763,8.123445,8.752174,7.855564,8.407121,"EFS_G5"
"111","PAKXDZ",8.946553,8.327792,7.58818,7.179647,6.611856,6.63812,8.928498,7.655286,7.650312,7.759945,7.576969,8.976544,8.349815,8.847586,7.839815,8.010369,8.724142,6.854455,7.526199,8.531943,8.602005,7.155836,8.219293,"EFS_L5"
"112","PAKYZS",9.039668,8.453142,7.63266,7.762477,6.690345,6.29087,7.654979,7.707972,7.361108,7.750024,8.402067,8.179111,9.06465,8.935361,7.61844,9.092322,8.895885,6.955928,7.117565,7.455858,8.23696,8.226789,8.602089,"EFS_L5"
"113","PALAWZ",9.778958,8.894547,7.507103,7.437748,6.91042,6.75891,7.910976,7.4197,7.59731,8.604747,8.74518,9.268398,9.00589,9.916696,8.378509,8.552663,9.012659,7.678318,8.838548,7.628063,8.883921,8.063478,8.546535,"EFS_L5"
"114","PALBFV",8.72297,8.930874,8.158978,7.160342,6.152189,6.46253,5.990303,8.268394,7.408786,8.580247,7.828186,9.169993,8.652461,9.612453,7.823803,8.040732,8.267985,6.773967,8.071596,8.410195,7.969918,7.521038,8.238564,"EFS_L5"
"115","PALBFW",9.499262,8.605379,8.31105,8.364146,7.102685,6.24954,7.582791,7.959611,8.278312,8.56183,8.182901,8.82467,9.224384,9.513273,7.749806,9.867669,9.312265,7.543765,8.319289,8.373406,8.856845,8.403488,8.821727,"EFS_L5"
"116","PALEAC",9.275603,9.123678,8.153291,8.153468,6.970345,6.7998,7.59325,7.749721,7.966418,8.650881,7.821689,9.331392,9.087593,9.77394,7.945294,9.381155,8.843324,7.202697,8.197198,8.268642,9.041393,8.298975,8.555272,"EFS_G5"
"117","PALEBK",9.489796,8.630163,8.450799,7.233832,7.093815,6.58736,8.252071,8.104427,8.001842,8.068968,8.048391,9.390478,9.441745,9.582056,8.282331,9.852614,9.118814,7.312241,7.86938,8.442523,9.629175,8.350477,8.449296,"EFS_G5"
"118","PALETP",9.398117,8.381733,7.884444,7.681347,6.527903,7.11491,9.115345,7.952135,7.901565,7.676944,7.727339,9.324792,8.724346,9.952614,7.582667,7.452319,8.603929,7.442447,7.903695,8.179551,8.413077,7.983536,8.231523,"EFS_L5"
"119","PALFRE",9.030723,8.519244,7.054148,7.390009,7.083969,6.49722,6.758398,7.115099,7.19032,8.021223,8.248776,8.499474,9.079194,8.909436,7.982729,9.282235,7.931435,7.586671,8.438949,8.027873,8.502267,7.675489,8.272515,"EFS_L5"
"120","PALFSE",9.812137,9.168982,8.358376,7.804575,6.925084,6.66039,7.284946,8.162606,7.554462,8.723507,8.891413,9.259407,9.55443,9.675165,8.906837,10.306227,8.8027,8.340745,9.149407,8.803385,9.162872,8.300174,9.052348,"EFS_G5"
"121","PALGFF",9.161864,8.797058,8.129235,7.676717,6.352063,6.73609,9.259322,8.332291,7.88117,8.54207,7.944022,9.260317,9.167553,9.285719,8.360002,9.53998,8.547246,6.971011,8.096487,8.553324,8.697587,8.510261,8.469578,"EFS_L5"
"122","PALHVD",8.692498,8.443217,8.351444,7.846602,7.273565,6.71908,8.025224,7.694772,7.731413,7.592622,7.522259,8.956419,8.360432,9.440047,7.34505,8.600046,8.668972,6.341487,7.157193,7.488215,8.558679,7.846011,8.377678,"EFS_L5"
"123","PALIIN",9.277158,9.017107,8.015168,7.616277,6.726101,6.79591,6.551515,7.708142,7.656482,8.128956,7.853828,9.113301,8.688139,9.919792,7.959792,8.568444,8.773177,7.574742,8.431093,7.853729,8.836598,8.043799,8.55864,"EFS_L5"
