"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"45","PADPCI",6.029277,8.754086,8.832897,9.035681,6.270557,7.051245,8.240717,9.444054,7.754993,8.228396,8.437338,8.963163,7.655626,8.744799,9.805031,8.674451,12.113621,"EFS_L5"
"46","PADPEY",5.127389,8.314226,7.941966,8.043354,7.989186,5.799514,7.372994,7.902503,6.75176,7.761151,7.836298,6.874304,6.40903,7.783018,8.142984,7.940524,10.875229,"EFS_G5"
"47","PADPHP",5.635512,8.512277,8.144878,8.58156,7.451146,6.957744,8.653942,8.96569,6.572135,7.256836,7.932707,8.384823,6.653675,9.738682,9.00675,9.52462,11.665474,"EFS_L5"
"48","PADPMU",9.13973,8.945277,8.499943,8.225209,6.667106,6.982879,8.149527,8.854999,6.841141,7.192821,8.52732,8.989755,7.287719,8.411241,9.252603,9.955245,12.087709,"EFS_L5"
"49","PADPRJ",6.899051,9.028754,8.75841,9.116682,6.067484,6.906281,8.335108,8.928751,7.209564,8.03547,8.7872,7.982729,6.934072,8.959881,8.833017,9.964333,11.836703,"EFS_L5"
"50","PADRYN",5.356214,7.340388,7.541931,7.644927,7.098478,5.752899,6.87792,7.448038,6.146255,7.510576,6.626064,7.006842,6.566298,7.008784,7.341557,7.644699,10.670557,"EFS_L5"
"51","PADSEC",5.580119,9.133824,9.20695,8.859573,5.818162,8.137164,8.567288,9.625199,7.260762,8.111473,8.725768,8.261035,6.696388,8.621654,8.693811,9.744499,12.050285,"EFS_L5"
"52","PADSMF",5.24557,8.326084,8.261033,8.807565,5.591272,6.56293,7.855482,8.878412,7.135199,7.761035,7.823188,8.426358,7.09929,8.332364,8.752383,10.302821,11.800764,"EFS_G5"
"53","PADSXE",4.970877,9.144825,8.962377,9.094069,5.992171,7.08044,8.431373,9.286784,7.014052,8.595523,9.002745,8.952338,7.373573,8.612043,8.509054,10.455126,12.018476,"EFS_G5"
"54","PADSXU",6.047963,9.650117,8.332378,8.699343,7.577811,7.128049,8.171811,9.244703,7.053498,8.027904,8.244557,7.942114,7.028079,9.233486,9.388107,8.008354,11.790108,"EFS_L5"
"55","PADTCU",7.69111,8.576381,8.341373,8.170735,7.010647,6.89672,7.59938,8.703444,6.726188,7.95846,8.399181,8.812324,6.832886,8.058632,7.979348,9.418861,11.964963,"EFS_L5"
"56","PADTJJ",5.473941,8.495593,8.368941,8.793345,6.444035,6.569655,8.298138,8.652959,7.236196,8.495351,8.17736,6.646892,6.220142,8.22798,7.768585,7.170844,11.582045,"EFS_G5"
"57","PADTRV",5.328159,8.482741,8.483022,8.268969,6.691285,6.793847,8.031057,8.438648,6.72123,8.326959,8.087912,9.081204,6.811098,8.985503,8.052745,8.831283,11.88551,"EFS_G5"
"58","PADUKP",5.790413,8.046772,8.698067,8.12188,7.592104,6.381977,6.346131,8.445777,6.439639,7.535652,7.418522,8.265243,6.209159,8.40561,9.953892,9.718925,10.54839,"EFS_L5"
"59","PADUWR",6.913069,9.131157,8.971772,8.960008,7.401173,7.975684,8.624005,9.741301,7.714069,8.871845,8.650526,9.671558,7.372214,9.476678,8.789475,9.708745,12.322524,"EFS_G5"
"60","PADUYJ",7.067333,8.601006,8.241234,8.998138,7.297269,6.623877,7.869387,8.730343,6.696056,8.522994,7.936327,6.85966,6.41043,8.644463,8.271617,8.729742,11.659167,"EFS_L5"
"61","PADVSN",5.372551,7.42107,9.230875,8.056572,6.151662,6.0919,7.347911,8.539825,6.041961,7.509413,8.044958,9.362207,7.043241,7.339002,9.392748,9.944864,11.812231,"EFS_G5"
"62","PADVWW",7.847337,9.15425,9.129646,9.174581,8.67113,7.86044,7.663775,8.744506,7.098486,7.754261,8.410309,8.25997,7.099592,9.314224,8.961995,9.750667,11.777104,"EFS_G5"
"63","PADWEN",5.629469,7.287804,8.708676,8.718778,5.504261,6.234841,7.926941,8.635085,4.837718,8.004338,7.785312,7.359004,6.449889,8.339718,7.561134,6.797275,11.646062,"EFS_L5"
"64","PADWIM",6.812293,9.080935,8.988311,8.376076,6.378985,7.165305,9.042265,8.878287,7.58169,7.867807,8.598319,8.529429,6.632937,8.93276,8.699706,9.036834,11.765939,"EFS_L5"
"65","PADWSM",8.982473,9.170999,9.032171,9.100368,6.974479,7.251511,8.428861,10.134316,7.777201,8.456148,8.396895,8.642597,7.375291,9.565572,9.140429,10.270492,12.429493,"EFS_G5"
