"","Row.names","AFTPH","ARGLU1","ATP1A3","ATP8A1","AUTS2","B3GAT1","CAMK2A","CDK5R1","CHD9","CNR1","CPEB2","CREG2","CYFIP2","CYGB","DGKD","DLG4","EID1","ENDOD1","EPS15","FNDC3A","FOXP1","GNAI1","GRIA1","GSK3B","IGF1R","KIAA0100","KIAA0513","KIF5C","KLHL24","LIN7A","LRRC7","LSM11","MAP3K2","MAPRE2","MARCKS","MEG3","MIA3","MINK1","MYCBP2","NCDN","NUMBL","PBX1","PCDH19","PGM2L1","PIK3R1","PLXNC1","PPP2R2C","PRKAB2","PYGM","R3HDM1","RALGAPA1","RHOU","RICTOR","RIMBP2","RNF165","RSF1","SHOC2","SLC8A1","SMARCC2","SOBP","SP4","SPOCK2","SPTBN1","SRRM1","SRSF11","TIMP2","TMOD2","TNFRSF19","TRIM2","UBR2","ZBTB16","ZEB2","ZNF445","ZNF804A","EFS_fct"
"132","PALSAE",7.953943,8.672293,7.234298,8.969395,8.661965,6.775635,6.282219,8.19436,7.569145,6.419758,7.261335,6.085192,8.982467,7.442955,8.040946,6.926679,8.357319,6.755244,7.633761,8.478746,8.248685,7.648584,7.14314,9.092541,8.988399,8.751459,6.115193,9.015091,8.535113,4.802653,5.85369,7.705856,6.905919,6.973835,9.277169,10.18168,7.017595,7.428167,7.925224,7.78107,8.056308,8.627596,4.347604,8.470249,9.403342,7.985554,6.295418,7.920967,6.306432,7.831664,8.169579,9.261457,7.666615,9.734768,6.354065,7.567213,8.138368,8.19341,9.167156,7.524496,8.264996,6.581346,8.920716,7.511569,8.454949,9.35761,7.944016,6.794366,8.281913,7.266167,7.098037,7.136043,7.6892,7.919763,"EFS_L5"
"133","PALTYB",8.397248,8.191024,9.534742,8.052435,7.17135,7.359133,9.179273,8.489942,8.395476,6.953358,8.481997,8.996524,10.397256,7.755532,8.277449,8.855276,9.54312,8.845199,9.819099,9.515536,7.488878,8.505963,8.152922,10.124039,8.664186,8.80973,8.910312,9.441383,8.85021,5.276366,5.130368,7.88524,8.292075,8.061247,8.959758,8.234531,8.071858,8.18879,9.176342,9.17952,8.664186,9.266571,6.506011,10.180617,9.143133,8.307902,8.491589,8.634405,7.333623,7.563444,8.770682,9.689032,8.665201,8.236649,7.024083,8.319038,10.118011,6.98173,8.67516,7.166691,7.622819,9.641252,9.659672,8.494401,8.386924,10.731123,9.054809,7.573766,9.45099,7.810441,7.204837,7.598451,7.52216,7.858243,"EFS_L5"
"134","PALUDH",8.2133,9.036175,8.060008,8.557634,8.684202,6.809496,7.57184,9.097616,8.142317,5.95823,7.091694,7.120789,9.367781,8.290285,8.27248,7.71536,8.508168,6.007179,8.114567,8.587611,8.149797,8.432799,7.598527,9.30361,8.843788,8.693161,7.258684,9.930285,9.506224,4.48855,4.750561,7.91905,7.501125,7.84483,9.294143,9.779516,7.329786,7.648406,8.073407,7.952793,8.288444,9.11368,4.741115,9.473867,9.281257,8.467942,7.322759,8.376161,7.290574,7.411892,8.882964,9.590335,8.359071,8.814848,7.476215,8.14468,9.070036,7.719307,9.075338,7.79965,8.38984,7.860525,8.77975,7.956505,8.377672,9.624858,8.431171,7.285401,9.426508,7.291854,6.532214,5.662772,7.784136,9.566273,"EFS_G5"
"135","PALUYS",8.08274,9.022852,8.58484,8.908645,8.309125,7.082783,6.707034,8.635011,7.488718,5.594099,7.535157,6.391977,9.257579,7.224642,7.889747,7.490895,8.627174,6.154456,7.758406,8.287213,7.79278,7.488252,7.258589,9.584791,8.463945,8.847927,6.994908,9.380351,8.796848,5.218972,4.653954,7.582609,6.898117,7.531603,9.461086,9.57394,7.110662,7.490378,8.33595,7.794955,7.845884,8.100002,4.317667,7.948654,8.619118,8.393067,6.792581,7.72489,6.396293,7.86329,8.35995,8.650212,7.811256,9.018123,7.440452,7.396302,8.414727,7.439949,8.933617,7.544375,8.232122,6.664645,8.763007,8.121734,8.640119,9.194175,8.042025,6.941767,8.313667,7.410013,6.33431,6.819947,8.087285,10.123369,"EFS_L5"
"136","PALVKK",8.111892,8.59818,8.440802,8.43625,7.370307,6.652169,6.832736,7.47699,8.090708,6.779957,8.155619,7.01756,8.876579,7.643972,7.799687,7.691932,8.894157,9.06679,8.722594,8.65458,8.044229,6.982142,7.762583,9.144721,8.343356,8.4152,7.435397,8.712014,8.208338,6.385827,5.292956,7.036743,7.388451,7.64344,9.792932,9.521844,7.579322,7.841439,8.684176,8.362084,7.947169,8.526776,5.445807,8.923334,9.191638,8.388295,7.49185,7.907362,6.895576,7.600622,8.574467,8.66629,7.872195,8.104833,6.700056,8.021905,8.96269,7.734551,8.609593,7.150992,7.576844,8.276497,10.024188,8.35854,8.526408,10.109126,8.952133,7.702276,8.502118,7.637173,7.352084,8.642166,7.334896,7.920061,"EFS_L5"
"137","PALVUC",8.00769,8.943028,8.521534,8.685501,9.093738,7.633878,7.912962,8.813559,7.820907,7.613615,7.696471,7.777872,9.513864,7.614255,8.53304,7.714293,8.045808,6.74347,8.041653,8.442275,7.975198,7.977708,8.019857,8.940498,8.799118,8.873535,6.776498,9.793661,8.463141,5.720385,6.927295,7.68497,7.251458,7.60745,9.333137,9.395258,7.093403,7.982008,8.667284,8.446051,8.090384,9.510967,4.887334,9.263822,8.675864,8.97271,8.004364,8.053933,6.483397,7.896023,8.397119,9.270361,7.631481,9.370892,7.755833,7.701127,8.050778,7.823882,8.97948,7.664204,8.263894,8.194888,9.42898,8.382252,8.766001,10.282056,8.463823,7.449224,8.833637,7.365434,6.840337,8.000958,8.026537,9.425517,"EFS_G5"
"138","PALVVH",8.13739,9.56241,8.733106,9.040792,9.180301,7.446755,6.437135,8.816001,8.453113,8.452808,8.131146,7.556262,9.729286,7.399145,8.304113,7.941514,8.719187,7.000279,8.075977,9.089874,8.657005,8.5564,8.615873,9.614498,9.192425,9.11439,7.180588,9.995399,8.925465,4.602286,8.883607,7.730584,7.51507,7.55499,9.734594,9.052845,7.853096,7.910191,9.229913,8.097201,7.837389,9.594299,4.733477,9.573636,9.340315,9.561927,6.529451,8.497284,6.146106,8.20703,8.751486,9.491557,8.360397,9.298219,7.371206,8.338968,8.669539,8.219341,9.359875,7.644557,8.44656,7.838487,9.455683,8.769979,9.415196,9.949014,9.120367,8.446749,9.304601,7.608594,6.817758,7.988221,8.75754,10.149431,"EFS_G5"
"139","PALWBT",8.051314,8.228056,8.655494,7.748896,7.339641,6.721604,8.432876,8.48513,7.452721,7.286402,8.124361,7.163901,9.802001,7.9396,8.222726,8.137173,8.960171,8.920684,8.697201,9.227401,7.482558,7.249653,6.524682,9.29021,8.633756,8.679798,7.790403,9.360966,7.790644,5.475984,6.946883,7.566269,7.109893,6.969304,9.004379,9.372093,7.323274,7.979147,8.380743,8.622188,8.062642,8.050042,5.084707,9.463568,7.928836,8.910596,7.752501,7.924023,6.640305,7.523786,8.254207,9.18611,7.42431,9.133462,6.918021,7.78197,8.496468,7.233047,8.548101,7.567457,7.065049,9.323756,9.507647,7.970773,8.274412,10.326449,8.396846,6.855384,8.468589,7.391843,6.921584,7.506789,7.286466,7.592699,"EFS_G5"
"140","PALWSJ",8.871904,8.329805,8.79922,9.990659,8.557324,8.29184,7.525101,9.010126,8.595175,7.763033,8.380018,7.899275,9.829135,8.877963,9.124563,8.174956,9.263097,8.103754,9.065583,8.522068,8.605491,8.548932,9.092345,9.671795,9.502227,9.141377,7.408552,10.724007,8.870778,6.645505,7.262933,8.115456,8.508473,8.159495,10.05046,8.30016,8.040678,8.101886,8.898036,8.407481,8.518772,9.437715,4.481235,10.160936,9.00441,10.496261,8.783847,8.658748,8.137204,8.592027,8.865783,9.807014,8.508722,8.989006,7.865848,8.727868,9.093097,8.22935,9.609384,7.967748,8.912422,8.054077,9.960807,8.599765,8.414842,9.59952,9.995495,7.271849,9.357592,7.376595,7.068506,7.687692,8.628208,10.844803,"EFS_G5"
"141","PALWVJ",7.908067,8.840777,8.590162,8.691817,8.739455,6.925803,6.74509,8.805407,7.910933,7.201663,8.299944,6.271414,9.569976,7.356845,8.21445,7.736028,8.502791,6.775189,7.265298,8.547047,7.790376,7.086871,8.3638,9.383541,8.502185,8.764392,6.938845,9.682441,8.474671,5.218444,6.755518,8.01472,7.261384,7.153683,9.392207,9.233818,7.378829,7.792424,8.979632,8.046428,8.058793,9.043046,5.832193,7.955514,8.608487,7.856208,6.683056,8.699195,6.572613,8.042264,8.191238,8.735945,7.632225,8.870921,7.176212,7.218867,8.503084,8.374704,8.966778,7.476671,8.06332,7.356536,8.879844,8.101718,8.349043,9.790168,8.737254,7.176565,8.268791,7.318511,6.812119,6.956794,7.473073,9.638353,"EFS_L5"
