"","Row.names","CDC42","CDK5R1","CDK5R2","CLIP1","DAB1","DCX","DYNC1H1","DYNLT1","KATNA1","LRP8","MAP1B","NDEL1","PAFAH1B1","PLA2G7","YWHAE","EFS_fct"
"117","PALEBK",9.489796,8.534463,7.957186,7.032347,6.551461,9.341247,9.97014,8.780928,6.997092,7.678928,10.007334,7.820242,10.188479,7.375549,9.870878,"EFS_G5"
"118","PALETP",9.398117,7.861399,8.145899,6.807692,5.626103,9.443467,9.625461,8.413052,6.999718,7.703847,10.040831,7.475003,10.153136,7.416626,9.559569,"EFS_L5"
"119","PALFRE",9.030723,8.584008,8.351586,6.648284,6.066679,8.716133,9.478621,8.361371,6.520009,7.769201,9.690048,7.484469,9.752903,6.008608,9.010069,"EFS_L5"
"120","PALFSE",9.812137,8.371988,8.638799,7.665801,7.045959,8.177679,10.023036,8.343171,6.976428,7.85056,10.416212,8.26348,10.615999,8.692434,10.164047,"EFS_G5"
"121","PALGFF",9.161864,8.787348,8.196106,7.239086,6.179442,8.945349,9.552368,8.850862,6.891825,8.190024,10.80947,7.620403,10.397551,8.009699,9.603421,"EFS_L5"
"122","PALHVD",8.692498,8.364354,8.479868,7.078709,5.917165,9.856236,9.653051,8.340001,6.694667,7.699217,9.534107,7.572825,10.02141,6.584464,9.757013,"EFS_L5"
"123","PALIIN",9.277158,8.27643,7.520291,7.034819,5.382813,9.072136,9.414459,8.712332,7.511511,7.167055,9.597733,8.082786,10.148281,8.205491,10.125494,"EFS_L5"
"124","PALKKV",9.41497,8.753923,8.246186,7.588532,7.047959,9.175601,10.017952,9.071807,6.692062,7.962123,10.212677,8.258406,10.385906,7.422039,10.063302,"EFS_G5"
"125","PALKUC",9.074547,7.997998,8.119995,6.619388,5.816799,8.436541,9.181674,7.691391,6.053606,7.034111,8.665081,7.808134,9.134999,5.532479,9.347019,"EFS_G5"
"126","PALLJJ",9.584635,8.852546,9.41896,7.124401,6.650049,7.442957,10.433285,7.801195,6.471801,9.035552,11.187717,7.613553,10.814234,7.217779,9.991882,"EFS_G5"
"127","PALNFE",8.519101,8.889772,8.111967,7.224341,6.438086,8.886005,9.29101,8.272118,6.445623,7.646405,9.991096,7.961003,10.452528,6.82688,9.934011,"EFS_G5"
"128","PALNHZ",9.045077,8.258359,8.130626,6.638391,5.705194,8.995886,9.674974,8.078834,6.480621,8.527717,8.986889,7.153702,8.996782,7.109788,9.117092,"EFS_L5"
"129","PALNVP",9.528452,9.160791,8.609124,7.35419,6.632405,9.712192,10.341101,8.656821,7.036647,8.355196,10.549484,8.236188,10.760359,5.98919,10.332503,"EFS_G5"
"130","PALPIN",8.945505,8.436595,8.217289,6.99687,6.302558,9.069676,10.064609,8.499443,6.805585,7.580852,9.595467,7.915086,10.102328,6.498336,9.660042,"EFS_G5"
"131","PALPSY",8.961386,8.331176,8.153976,7.277064,6.593175,9.166987,10.036022,8.344017,6.851122,7.614466,9.64043,7.961321,10.23713,7.427913,9.966191,"EFS_G5"
"132","PALSAE",8.593557,8.19436,8.268145,6.949504,6.116751,8.138952,9.578447,7.408441,6.267314,7.575342,9.743905,7.459737,9.562409,5.993504,9.311346,"EFS_L5"
"133","PALTYB",9.94867,8.489942,8.629038,7.534817,6.394202,7.331103,10.495134,7.631524,6.829971,7.90859,11.034263,9.003151,10.87908,7.700614,10.090114,"EFS_L5"
"134","PALUDH",9.176935,9.097616,8.327706,6.793817,5.756661,10.322078,9.777868,8.477671,6.482421,7.841947,10.043259,7.118371,10.135126,6.125628,9.760154,"EFS_G5"
"135","PALUYS",8.978933,8.635011,8.139594,6.967794,5.62349,9.439052,9.733709,8.03984,6.783351,7.280395,9.391192,7.280509,10.060869,8.730109,9.803847,"EFS_L5"
"136","PALVKK",9.578372,7.47699,8.119265,7.128812,6.606417,8.033039,9.910827,8.239921,6.430442,7.429991,10.050589,8.211696,9.826024,6.839171,9.629705,"EFS_L5"
"137","PALVUC",8.927325,8.813559,8.285999,6.937798,6.657243,9.0651,9.659212,8.206494,6.33135,7.962384,9.48238,7.636823,10.339878,6.685258,9.614144,"EFS_G5"
"138","PALVVH",9.471604,8.816001,8.077909,7.45222,6.014832,9.541609,9.636593,8.565193,6.853701,8.180248,9.934421,7.748714,10.086596,7.504869,9.862835,"EFS_G5"
"139","PALWBT",9.155998,8.48513,8.776278,7.349293,5.726568,6.229603,10.212348,7.594467,6.115753,8.126467,10.553868,8.140263,10.399945,7.506362,9.753834,"EFS_G5"
"140","PALWSJ",9.777182,9.010126,8.894885,7.3544,6.312322,9.808776,10.179102,8.862308,7.335008,8.603888,10.307718,8.070601,10.832449,7.101936,10.102887,"EFS_G5"
"141","PALWVJ",9.305807,8.805407,8.309633,7.103253,5.854633,9.922731,9.613296,8.539572,6.757419,7.80357,9.855629,7.81763,9.765074,8.182036,9.899953,"EFS_L5"
"142","PALWXP",9.482078,8.536587,8.24832,7.821224,6.642417,9.565343,9.742916,8.885575,7.065402,8.409437,10.252439,8.013651,10.55791,8.561321,10.213662,"EFS_G5"
"143","PALXTB",9.723524,8.36984,8.012253,7.589595,6.164655,9.879661,9.307456,8.466681,6.551044,7.946057,10.26017,7.914361,10.34799,8.612852,9.868992,"EFS_G5"
"144","PALXTE",9.325954,8.265901,7.971123,7.077678,6.47723,9.80141,9.355962,8.608102,7.213163,7.560788,9.278189,8.011616,10.606982,5.960521,10.183105,"EFS_G5"
"145","PALXUM",9.720987,8.599879,8.240747,7.375983,5.892196,10.094005,9.212259,8.639641,6.840297,7.893565,9.800531,8.280815,10.630181,4.82085,10.354027,"EFS_L5"
"146","PALYEC",9.114335,8.189314,7.86451,6.452189,6.049225,7.231233,9.44917,8.210336,6.654883,7.99778,9.381688,7.028815,8.881728,7.117622,9.100353,"EFS_L5"
"147","PALYLZ",8.953089,8.667421,8.000906,6.720638,6.590206,9.468042,10.025192,8.373059,6.630814,7.564199,9.844952,7.764472,10.319156,7.019789,9.836,"EFS_G5"
"148","PALYPW",9.474168,7.551406,7.78458,7.016472,7.193244,8.144706,9.723548,7.722085,6.433149,6.692398,10.275878,8.211701,9.777044,5.232149,9.443012,"EFS_L5"
"149","PALZRG",8.922586,8.376143,7.73385,6.447604,5.925502,8.632958,9.304691,8.416632,6.986986,7.249795,9.712814,7.419501,9.76382,6.182859,10.257089,"EFS_L5"
"150","PALZZV",8.433478,8.720002,7.997281,6.848647,6.640971,9.928293,9.047878,8.383778,6.601496,7.306604,9.191231,7.58715,9.75153,6.174206,9.754604,"EFS_L5"
"151","PAMACS",9.320582,8.365277,8.324201,6.514595,6.309839,8.325754,9.603998,8.431037,6.663609,7.794317,9.352051,7.176454,9.804006,6.128521,9.575222,"EFS_L5"
"152","PAMAFV",9.114306,8.47869,8.37528,6.770457,6.641975,9.415418,9.606511,8.589462,6.577548,7.677443,9.519232,7.412934,10.271226,6.658843,9.931333,"EFS_G5"
"153","PAMAJT",9.048512,8.537944,7.953613,7.169082,5.863456,8.870324,9.536111,8.575537,6.538061,8.047879,9.952446,7.645553,10.250426,6.381032,9.56122,"EFS_G5"
"154","PAMBDH",7.816075,8.179043,8.005279,6.57588,5.554162,8.634359,9.125765,7.809148,6.302712,7.597633,9.205935,6.836314,9.590922,5.436683,9.187443,"EFS_G5"
