"","Row.names","CDC42","CREB1","GNAI1","GNAO1","GNAZ","GNB1","GNG2","MAP2K1","MAPK1","PELP1","PIK3R1","PLCB1","PTK2","EFS_fct"
"77","PAIRLN",9.485794,8.488215,7.86573,9.04032,8.405895,10.273863,8.600584,8.094506,8.592459,7.611159,8.455116,6.640205,8.906352,"EFS_G5"
"78","PAISNS",8.699122,8.78831,7.398048,9.115008,8.922007,10.065775,8.308474,7.834233,9.157727,7.589792,8.820988,6.074102,8.87628,"EFS_L5"
"79","PAITCI",8.966586,8.5218,7.018049,9.716581,8.365064,10.449734,8.038814,7.752936,8.687386,7.839313,9.090919,8.92355,8.555687,"EFS_L5"
"80","PAITEG",9.925513,8.126589,7.592053,7.936903,7.821655,10.626485,7.882813,8.886988,8.772533,7.151161,8.627856,7.012355,8.335087,"EFS_L5"
"81","PAITRM",9.357307,8.797714,7.462084,8.997589,8.770582,10.452453,8.552038,7.920429,8.948843,7.603254,8.069729,6.802812,9.004905,"EFS_G5"
"82","PAITZV",8.972367,8.207387,7.563809,9.391764,8.515579,10.302838,8.694924,7.992853,8.070783,7.593106,7.388728,6.237329,8.848951,"EFS_G5"
"83","PAIUJB",8.640286,8.908504,7.566042,9.26523,8.032332,9.726701,8.765555,7.277274,8.466573,7.492071,8.717252,7.378959,8.979189,"EFS_L5"
"84","PAIVHE",9.451962,7.913724,7.279728,8.805776,8.411868,10.570215,8.731627,8.162994,8.671633,7.442568,8.738336,6.713417,8.74156,"EFS_L5"
"85","PAIVMJ",9.61676,8.983875,8.296321,9.318619,8.607618,10.831694,9.334694,7.824733,9.581963,7.920467,9.652335,7.211541,9.341513,"EFS_G5"
"86","PAIVZR",8.590917,8.637682,6.980338,8.89797,8.227314,9.996093,8.194309,7.776042,8.41254,7.559117,8.010708,6.229316,8.608929,"EFS_L5"
"87","PAIWHU",8.923554,8.745675,8.079094,9.400418,8.476922,11.185128,9.142741,8.452252,9.034113,7.79854,8.697194,6.916148,8.882916,"EFS_G5"
"88","PAIWVG",8.899483,7.835311,6.639561,8.980239,8.294008,10.309094,8.47197,7.768124,8.332884,7.736651,8.047182,6.701419,8.475687,"EFS_L5"
"89","PAIXLC",9.385813,9.178662,7.793552,9.018571,7.882501,10.58252,9.046864,8.021587,8.859082,7.695016,10.001395,7.142457,8.867815,"EFS_G5"
"90","PAIXNG",8.26105,8.719029,6.781529,6.390074,7.762834,9.890633,6.305405,7.652591,8.476021,8.112168,7.07076,7.838489,8.882707,"EFS_L5"
"92","PAJYHP",9.254162,8.738056,7.549184,9.157829,8.45575,10.57701,8.240705,7.80851,8.772819,7.19943,7.479534,7.968313,8.486184,"EFS_L5"
"93","PAJYLA",9.675719,8.355124,7.569128,8.18552,8.500103,10.540124,8.365769,8.162972,8.47883,7.130207,8.138767,7.986947,8.593418,"EFS_L5"
"94","PAJYVA",8.307485,8.510417,7.178804,8.758454,7.998073,9.929333,7.516175,7.609136,8.204953,7.677224,7.711403,7.01967,9.023845,"EFS_L5"
"95","PAJZUU",8.345171,7.61224,6.601111,8.507246,8.589965,9.904466,7.300646,8.08739,8.170097,8.00765,6.520632,7.71016,8.423356,"EFS_L5"
"96","PAJZWL",8.823472,8.670511,7.215619,9.046179,8.619761,10.454976,8.619266,7.56361,9.320539,7.825457,8.598417,6.562715,9.119772,"EFS_L5"
"97","PAKACY",8.639376,8.73669,7.307496,7.920587,7.599953,9.945141,7.988732,7.591226,8.161571,7.09335,7.738087,6.303212,8.854161,"EFS_L5"
"98","PAKADI",9.426034,9.026405,9.235945,9.516435,8.604708,11.126605,9.212727,8.087598,9.172044,7.546804,8.491354,5.707947,8.906962,"EFS_L5"
"99","PAKAFK",8.634892,9.332691,7.705002,9.314043,8.738544,10.448827,8.102071,8.357277,9.274816,7.735474,9.365447,5.974996,8.390518,"EFS_G5"
"100","PAKANZ",9.108967,8.545503,7.272761,9.26407,8.117871,10.167662,8.401789,7.690302,8.833142,7.59213,8.936336,7.072937,8.885992,"EFS_L5"
"101","PAKDHL",9.28256,9.285701,7.640843,9.095256,8.49353,10.684387,8.128216,7.340634,8.872498,7.379681,8.690272,6.652339,8.06745,"EFS_L5"
"102","PAKGCI",9.122487,8.748727,8.720681,8.674634,8.450885,10.726679,8.715477,8.056129,9.238032,7.79782,9.953679,7.981977,8.699329,"EFS_G5"
"103","PAKGKH",9.435272,8.558459,8.159272,9.626898,8.920251,11.158315,8.809411,8.600261,9.311922,8.321377,9.26457,7.348311,8.275886,"EFS_L5"
"104","PAKGMY",8.260216,8.101545,6.484266,8.514765,8.113713,10.029798,7.815631,7.532633,7.883623,7.872214,7.662388,5.833553,8.250327,"EFS_L5"
"105","PAKHAV",9.478577,8.806979,8.507754,9.59181,8.832352,11.324676,9.19251,8.498773,9.268628,8.31903,9.180549,7.948961,8.679417,"EFS_L5"
"106","PAKINP",9.367313,8.660253,8.654576,9.342734,8.379235,11.176566,9.152806,8.221396,8.973527,8.165001,9.52801,8.425883,9.146173,"EFS_G5"
"107","PAKJBA",9.580608,9.598385,8.102678,8.880324,8.786373,11.136122,8.47678,8.282513,9.516435,8.230204,9.277934,7.573775,8.745205,"EFS_G5"
"108","PAKSWB",9.488237,9.207107,8.072781,9.520634,8.400326,11.338181,9.426164,7.686681,9.06965,7.785435,9.502184,7.752199,9.215542,"EFS_G5"
"109","PAKUXT",9.667109,8.791477,8.004646,9.745605,8.654301,10.940568,8.936031,8.208991,9.389166,7.819443,9.817123,6.268173,9.217261,"EFS_L5"
"110","PAKWCJ",9.042193,8.516494,8.077402,9.349983,8.388108,11.078964,8.476873,8.234471,8.724014,7.952229,9.458015,7.260981,8.644227,"EFS_G5"
"111","PAKXDZ",8.946553,8.438729,6.929684,9.167171,8.131159,9.65514,7.661907,7.576969,8.349815,7.907739,8.010369,6.712569,8.724142,"EFS_L5"
"112","PAKYZS",9.039668,7.804524,7.647437,9.385593,8.55037,10.758554,8.01469,8.402067,9.06465,7.520388,9.092322,6.573939,8.895885,"EFS_L5"
"113","PALAWZ",9.778958,7.653166,7.367621,9.21263,8.323805,10.851609,8.51507,8.74518,9.00589,7.693487,8.552663,6.535456,9.012659,"EFS_L5"
"114","PALBFV",8.72297,8.887406,7.045819,9.101664,8.494595,10.035307,7.686095,7.828186,8.652461,7.988741,8.040732,7.912668,8.267985,"EFS_L5"
