"","Row.names","AHRR","BRD9","C5orf38","CEP72","CLPTM1L","IRX2","IRX4","LPCAT1","LRRC14B","MRPL36","NDUFS6","PDCD6","PLEKHG4B","SLC12A7","SLC6A18","SLC6A19","SLC6A3","SLC9A3","TERT","TRIP13","EFS_fct"
"122","PALHVD",7.443752,7.793131,7.021397,7.720235,8.402651,7.343842,6.787795,7.520551,6.110013,7.117146,8.633574,8.05155,7.327215,7.665423,6.782938,6.617831,6.857471,7.118184,7.758328,7.880559,"EFS_L5"
"123","PALIIN",6.923943,7.397923,6.664975,7.013356,8.584615,6.886608,6.224544,7.580949,5.58065,7.243483,9.103652,7.703631,6.974778,7.672876,6.161828,6.020654,6.447778,6.312942,6.966199,7.756076,"EFS_L5"
"124","PALKKV",7.071415,6.859033,6.642317,6.6202,7.815054,7.039798,6.470129,7.438377,5.51873,7.074899,8.234224,7.707575,5.872046,7.129328,6.483546,5.945539,6.500318,6.774594,6.707094,5.788704,"EFS_G5"
"125","PALKUC",7.563781,6.795386,7.37125,7.149366,8.170675,7.612524,7.295011,7.635158,5.745697,7.215016,8.324842,7.372348,6.948179,7.461048,6.941736,6.660678,7.202071,7.583989,7.433212,6.601515,"EFS_G5"
"126","PALLJJ",7.396421,6.837716,7.127135,6.758718,9.494395,7.795191,7.369136,8.395609,5.908197,7.433873,9.0567,7.586292,6.105439,7.2314,6.872244,6.630047,7.271111,7.483947,7.782597,6.193858,"EFS_G5"
"127","PALNFE",7.188799,7.175542,6.901488,6.845969,7.919992,7.636146,6.789704,7.40715,5.201853,7.179177,8.115766,7.742909,5.85517,6.649331,6.517638,6.123816,6.50879,6.827348,7.052232,6.268413,"EFS_G5"
"128","PALNHZ",7.31001,7.24475,7.053473,7.505133,8.581602,7.216185,6.709211,8.176928,6.558567,7.323553,8.686648,7.184471,6.577136,7.35229,6.829645,6.385351,6.846875,7.025596,7.595797,7.638483,"EFS_L5"
"129","PALNVP",6.99921,7.126747,6.916622,6.792435,8.655803,7.103615,6.635341,7.970905,5.380817,7.382526,9.048502,7.857558,5.726624,7.444203,6.230258,6.144077,6.460539,6.526162,6.643664,7.288062,"EFS_G5"
"130","PALPIN",6.927049,7.105585,6.8166,6.893761,8.065181,7.324093,6.715733,7.464988,5.75395,6.594924,8.29045,7.488142,6.293348,7.043156,6.391894,6.174818,6.495773,6.80745,6.732746,6.069266,"EFS_G5"
"131","PALPSY",6.836394,6.95797,6.300567,6.941477,7.965631,6.883036,6.61782,7.376019,5.687207,6.813777,8.298806,7.229931,5.842211,6.754452,6.248372,5.940705,6.523313,6.607904,6.75998,6.471483,"EFS_G5"
