"","Row.names","ATIC","BARD1","CAD","CENPF","HMGA1","LDHB","MYBL2","NCAPD2","NME4","RPL10A","RPL27A","RPL29","RPL35A","RPL7A","RPS10","RPS14","RPS18","RPS19","RPS25","RPSA","SNRPD2","TKT","TRAP1","EFS_fct"
"122","PALHVD",7.504333,6.165036,8.07038,8.808777,8.407541,9.043221,8.928502,8.568376,8.01518,9.279386,8.444379,8.81683,9.11533,8.447057,9.247959,8.159681,9.693601,8.756778,9.202538,9.027346,7.706917,8.015509,8.79299,"EFS_L5"
"123","PALIIN",8.130783,7.387264,7.254373,8.905604,8.233796,9.134861,8.816898,8.561868,7.479868,9.10949,7.902866,8.788783,9.271939,8.433325,9.462067,8.213275,9.768025,9.346495,9.59125,9.749355,7.744116,7.537994,8.145309,"EFS_L5"
"124","PALKKV",7.441135,5.742265,7.457698,5.61167,8.166909,8.491379,7.001991,7.770574,7.949145,9.363142,7.986176,9.148718,8.957383,8.800787,9.357929,8.26885,10.273255,9.259525,9.791887,9.910211,7.675692,7.848762,8.602449,"EFS_G5"
"125","PALKUC",7.539697,6.552159,7.598983,7.411449,8.64901,9.123549,8.28291,8.235512,8.395408,10.232972,9.174825,9.690341,9.54544,9.237391,10.117982,8.198888,10.077831,9.579787,10.426237,9.73295,8.331454,8.435884,8.808211,"EFS_G5"
"126","PALLJJ",8.288612,5.926126,7.544279,5.106102,8.92186,8.586378,6.678856,7.702753,7.825523,9.682825,7.976575,9.333118,8.81943,8.052461,9.64653,8.585267,9.96449,9.30021,9.52155,9.077322,8.469964,8.892448,8.815348,"EFS_G5"
"127","PALNFE",7.441358,5.457923,7.283998,6.491326,8.188717,8.698859,7.178067,7.828511,7.917695,8.716499,7.442657,8.422877,8.588793,7.964524,8.718002,8.150902,9.266112,8.327541,9.148015,9.058572,7.364311,7.39026,8.33643,"EFS_G5"
"128","PALNHZ",8.39536,7.016076,8.534871,8.825035,8.841755,9.564447,9.692047,9.016247,8.79835,10.167168,9.217235,10.032343,9.494208,9.428501,9.728308,9.146152,10.403713,9.447485,10.799928,9.992553,8.177191,8.613753,9.641361,"EFS_L5"
"129","PALNVP",8.201798,6.546264,7.548025,6.872139,8.351643,8.850186,7.228755,8.30807,7.803218,9.634502,8.25854,8.974668,8.944632,8.760839,9.575826,8.9448,9.890237,9.01,10.077278,9.586281,8.12955,7.971085,8.784212,"EFS_G5"
"130","PALPIN",7.46607,5.725328,7.782444,5.33589,8.063346,8.448508,6.52201,7.436036,7.740777,9.459943,7.87139,8.83152,8.834918,8.114496,9.150522,8.285054,9.914545,8.907947,9.681903,9.313636,7.352954,7.816811,8.422119,"EFS_G5"
"131","PALPSY",8.023585,6.223195,7.619896,7.071356,8.21977,9.178758,8.052626,8.445423,7.770911,9.314843,7.901175,8.880803,9.063968,8.415632,9.270276,8.414456,9.911599,8.917763,9.819308,9.632156,7.422678,7.808407,8.281556,"EFS_G5"
