"","Row.names","ABCF1","ASF1B","ASS1","CDCA7","CHAF1B","DDX21","DNMT1","DUT","EMB","FEN1","GRWD1","HELLS","HMGA1","HMGB2","IFI16","IFRD2","LY6H","MCM3","MCM5","MCM6","MSH6","NAP1L4","POLA2","POLD1","PRPS1","RAD51","RNASE2","RRM2","SERPINA3","SMC2","SNX5","VCAN","EFS_fct"
"78","PAISNS",8.450655,7.788779,6.497603,7.434671,6.953061,7.778423,8.940941,7.501759,4.849971,8.273587,7.250316,8.360136,8.391333,10.039626,5.02245,6.93339,6.645325,8.379949,9.616783,8.921729,8.017425,8.769452,8.354807,7.474809,7.364823,7.331442,3.475457,8.589044,4.984675,8.028403,7.647433,5.169312,"EFS_L5"
"79","PAITCI",8.193844,6.75428,6.83321,6.653263,6.352175,8.361697,8.064802,7.230181,5.841733,7.752509,7.387463,6.362594,8.198367,8.529235,6.862558,7.107823,6.681142,7.596261,7.907588,8.279112,7.878489,8.236438,6.764918,7.425087,7.193855,6.201301,4.270387,7.186348,4.708169,6.956265,7.991959,8.762453,"EFS_L5"
"80","PAITEG",8.239864,6.12303,7.621316,5.003055,5.849242,9.409815,7.501568,6.600932,6.759653,7.058048,7.749541,4.836821,8.530568,8.027955,8.601064,7.313235,6.640122,6.765536,7.583086,7.390466,7.433558,7.809747,6.22097,7.288947,7.821677,5.070132,5.22704,6.495479,6.92789,5.708735,8.157062,9.90618,"EFS_L5"
"81","PAITRM",8.39081,7.171864,6.686578,7.433064,6.412552,8.345398,8.614976,7.514241,5.80529,8.45654,7.470046,8.283029,8.193353,9.720898,7.065032,6.800957,6.761773,8.160046,8.920003,8.564579,8.357903,8.957562,8.205256,7.644196,7.567025,7.008591,4.118553,7.784855,4.917145,8.030123,7.832212,7.823169,"EFS_G5"
"82","PAITZV",8.542616,7.143436,6.971212,7.318521,6.658512,8.248098,8.795034,7.109819,5.836261,7.968654,8.269189,7.238662,8.558117,8.410252,6.406666,7.072307,7.281305,7.772667,8.730045,8.532294,7.820422,8.427798,7.891411,7.817639,7.714979,6.338483,3.753789,8.363597,4.930546,6.781394,7.773088,8.224037,"EFS_G5"
"83","PAIUJB",7.72017,6.809414,6.935123,7.781101,6.706322,8.211659,8.128016,7.625972,5.735684,7.874983,7.311523,8.486814,8.548613,9.182102,5.34716,7.037779,6.943795,8.095589,8.780335,8.715087,8.784892,8.668069,7.923521,7.455235,7.464066,6.806711,3.53814,8.193562,7.119593,7.676137,8.138786,8.62822,"EFS_L5"
"84","PAIVHE",7.935494,6.899639,6.964104,6.892206,6.626576,8.740622,8.532041,7.102896,6.065605,7.986671,7.312442,7.794801,8.305443,9.411291,6.706543,7.160457,6.796867,7.602072,8.592194,7.940103,7.59809,8.618256,7.260689,7.375212,7.562997,6.527878,4.178471,8.163949,5.237416,7.123101,7.55272,8.226402,"EFS_L5"
"85","PAIVMJ",8.109204,6.688371,6.525579,6.927857,6.09742,8.245617,7.805772,7.278667,5.475119,7.202575,7.10078,7.945773,8.250927,8.9477,6.789563,6.752724,6.5,7.712668,8.827639,8.132079,7.696342,8.62445,7.282159,7.284229,7.294897,6.318837,3.892011,7.624768,4.818086,7.336786,7.751185,7.535807,"EFS_G5"
"86","PAIVZR",7.988742,6.629303,6.81674,6.784927,6.594005,8.443191,7.951739,6.948376,5.490116,7.767012,7.67851,7.551176,8.530554,9.217175,6.52733,7.188052,7.27177,7.559938,8.150074,8.202508,8.258712,8.378802,6.905843,7.228757,7.427856,6.175951,4.014569,7.522115,4.744222,6.660821,7.832305,8.144388,"EFS_L5"
"87","PAIWHU",7.917766,6.352813,6.28866,6.047628,6.117738,6.958489,7.754363,7.033016,5.513112,7.722082,6.996346,7.006011,8.20178,7.61918,5.533355,7.019789,7.078023,7.223973,8.113459,7.605035,7.687442,8.291214,7.066183,7.262575,6.95607,5.896925,4.00573,6.929949,4.7421,6.557091,6.914183,7.041167,"EFS_G5"
"88","PAIWVG",8.125078,7.665633,7.602632,6.822032,6.528344,7.866188,8.401156,7.274142,4.912023,8.427115,7.602267,7.303277,8.621257,9.143456,6.683539,7.304528,7.402622,7.906258,8.924053,7.890982,7.265238,8.626822,8.181407,8.017337,7.21095,7.034512,4.524458,7.83081,5.602735,7.07182,7.366806,8.745339,"EFS_L5"
"89","PAIXLC",7.97395,6.365387,6.410808,6.209381,6.105935,7.576773,7.855883,7.300025,5.898595,7.215474,7.218172,6.99032,8.288373,8.168969,6.712832,7.034425,6.682902,7.524564,8.138025,7.243874,7.728951,8.440303,7.169274,7.310489,7.417717,5.886646,4.41298,7.612859,4.808098,6.414178,7.856883,8.264307,"EFS_G5"
"90","PAIXNG",8.103685,7.677107,6.814836,7.549033,6.76501,7.723429,8.626664,7.218922,6.188339,8.537282,7.650261,8.124358,8.238123,9.315064,6.165325,7.500323,6.965393,8.779754,9.606907,8.981619,8.441539,8.781039,8.325622,7.821579,7.748387,7.099308,3.948378,8.055137,4.78121,7.567997,8.038314,8.192213,"EFS_L5"
"92","PAJYHP",7.974496,7.027292,6.887398,7.092201,6.555317,7.485184,8.655042,7.200519,6.010386,8.323929,7.31317,7.78872,8.190959,9.276831,7.173699,6.941568,7.1358,7.951824,8.404703,8.4372,7.768748,8.682423,8.6432,7.438556,7.808492,6.42101,3.750517,8.382665,4.71859,7.781644,8.245238,7.863763,"EFS_L5"
"93","PAJYLA",7.735645,6.876226,7.516403,6.90846,6.118622,8.352377,7.564918,7.633376,6.221265,8.438708,7.62893,7.483355,8.418425,9.420828,7.515498,7.25217,7.31331,8.067247,8.407525,8.45443,8.110384,8.498154,7.702259,7.709556,7.418771,6.482828,4.294426,8.100976,5.09449,7.524551,8.071732,9.415259,"EFS_L5"
"94","PAJYVA",7.75419,6.734614,7.158206,7.555032,6.431562,8.047052,8.601884,7.257779,5.694586,7.479446,7.461324,8.307353,8.653102,8.53761,7.938897,7.133753,7.117412,8.06875,8.917628,8.322908,7.815146,8.740943,8.261377,7.780764,7.394085,6.360742,3.587043,7.850873,4.816348,6.948919,8.993961,9.377374,"EFS_L5"
"95","PAJZUU",8.216616,7.14824,8.858502,6.932894,6.550926,8.639045,8.478732,7.712348,5.440732,7.936358,7.920513,6.46633,8.890486,9.441399,6.629704,7.390083,7.10287,7.942705,8.858656,7.709234,8.247841,8.312597,6.920775,8.230245,7.198992,6.813772,3.684017,7.024464,5.181975,6.720131,7.460432,8.120036,"EFS_L5"
